lng,lat,x,y,count
113.97995171307142,22.54524457552412,12688190.18534102,2577115.519436087,2
113.97925171307142,22.539044575524116,12688112.261697464,2576368.245193083,22
113.97935171307141,22.54104457552412,12688123.393646542,2576609.2977333153,7
113.97885171307142,22.538744575524117,12688067.733901147,2576332.0876132436,96
113.98095171307142,22.538644575524117,12688301.504831811,2576320.0351040903,2
113.98085171307142,22.54084457552412,12688290.372882733,2576585.1923221396,4
113.98235171307141,22.539844575524118,12688457.352118924,2576464.6657901104,1
113.98075171307141,22.538644575524117,12688279.240933653,2576320.0351040903,4
113.97875171307142,22.538144575524118,12688056.601952067,2576259.7726892726,6
113.97895171307141,22.538644575524117,12688078.865850225,2576320.0351040903,14
113.98265171307142,22.540244575524117,12688490.747966161,2576512.8762981542,43
113.98235171307141,22.540244575524117,12688457.352118924,2576512.8762981542,2
113.97885171307142,22.538444575524117,12688067.733901147,2576295.930111975,10
113.97855171307141,22.54234457552412,12688034.338053908,2576765.9837572495,1
113.98235171307141,22.54074457552412,12688457.352118924,2576573.139629649,1
113.98005171307142,22.544844575524117,12688201.317290097,2577067.3071816876,5
113.97955171307142,22.53914457552412,12688145.6575447,2576380.297737155,1
113.97965171307142,22.543244575524117,12688156.789493782,2576874.459561325,8
113.97935171307141,22.541444575524118,12688123.393646542,2576657.508660438,2
113.97965171307142,22.543344575524117,12688156.789493782,2576886.512472105,6
113.97965171307142,22.53954457552412,12688156.789493782,2576428.5080007478,14
113.97885171307142,22.53924457552412,12688067.733901147,2576392.3502899585,8
113.97975171307141,22.538344575524118,12688167.921442859,2576283.87762901,5
113.98275171307141,22.540244575524117,12688501.87991524,2576512.8762981542,31
113.98265171307142,22.540044575524117,12688490.747966161,2576488.771026672,47
113.97935171307141,22.538644575524117,12688123.393646542,2576320.0351040903,2
113.98105171307141,22.544744575524117,12688312.636780893,2577055.2541399198,1
113.97995171307142,22.544744575524117,12688190.18534102,2577055.2541399198,1
113.98005171307142,22.54254457552412,12688201.317290097,2576790.0894303657,2
113.97935171307141,22.541844575524117,12688123.393646542,2576705.719727263,1
113.97965171307142,22.540444575524116,12688156.789493782,2576536.98160456,2
113.97855171307141,22.53794457552412,12688034.338053908,2576235.667784453,53
113.97885171307142,22.53914457552412,12688067.733901147,2576380.297737155,1
113.98135171307142,22.541444575524118,12688346.03262813,2576657.508660438,3
113.97865171307141,22.538244575524118,12688045.470002986,2576271.825154777,30
113.98145171307141,22.541444575524118,12688357.164577208,2576657.508660438,2
113.97895171307141,22.54404457552412,12688078.865850225,2576970.883092065,37
113.98325171307141,22.54394457552412,12688557.539660638,2576958.8301201602,5
113.97955171307142,22.538944575524116,12688145.6575447,2576356.19265774,14
113.98255171307142,22.542944575524118,12688479.616017083,2576838.300881379,1
113.97945171307141,22.542944575524118,12688134.525595622,2576838.300881379,3
113.98195171307141,22.544244575524118,12688412.824322606,2576994.989062075,2
113.97895171307141,22.538744575524117,12688078.865850225,2576332.0876132436,39
113.98065171307141,22.54254457552412,12688268.108984575,2576790.0894303657,7
113.97945171307141,22.538544575524117,12688134.525595622,2576307.982603668,12
113.97915171307142,22.538144575524118,12688101.129748385,2576259.7726892726,4
113.97855171307141,22.538244575524118,12688034.338053908,2576271.825154777,6
113.97935171307141,22.54064457552412,12688123.393646542,2576561.086945888,2
113.98105171307141,22.542844575524118,12688312.636780893,2576826.2480055285,5
113.98115171307141,22.538644575524117,12688323.768729972,2576320.0351040903,4
113.98305171307142,22.539644575524118,12688535.27576248,2576440.560588472,3
113.98195171307141,22.538544575524117,12688412.824322606,2576307.982603668,2
113.97925171307142,22.543244575524117,12688112.261697464,2576874.459561325,1
113.97885171307142,22.538244575524118,12688067.733901147,2576271.825154777,7
113.97945171307141,22.539044575524116,12688134.525595622,2576368.245193083,3
113.98175171307142,22.53914457552412,12688390.560424447,2576380.297737155,3
113.98165171307141,22.542044575524116,12688379.428475367,2576729.8253130615,4
113.97975171307141,22.53944457552412,12688167.921442859,2576416.4554217537,7
113.97905171307141,22.54404457552412,12688089.997799303,2576970.883092065,3
113.98115171307141,22.54214457552412,12688323.768729972,2576741.878119061,2
113.98145171307141,22.54234457552412,12688357.164577208,2576765.9837572495,2
113.97945171307141,22.54104457552412,12688134.525595622,2576609.2977333153,13
113.97965171307142,22.538744575524117,12688156.789493782,2576332.0876132436,3
113.98175171307142,22.538244575524118,12688390.560424447,2576271.825154777,3
113.97855171307141,22.53934457552412,12688034.338053908,2576404.4028514912,24
113.98095171307142,22.54094457552412,12688301.504831811,2576597.245023363,2
113.98195171307141,22.544444575524118,12688412.824322606,2577019.0950670154,1
113.97935171307141,22.54094457552412,12688123.393646542,2576597.245023363,11
113.97865171307141,22.538344575524118,12688045.470002986,2576283.87762901,17
113.98175171307142,22.54534457552412,12688390.560424447,2577127.57252152,1
113.98285171307141,22.54224457552412,12688513.01186432,2576753.9309337894,3
113.97885171307142,22.54104457552412,12688067.733901147,2576609.2977333153,1
113.97945171307141,22.540144575524117,12688134.525595622,2576500.8236580472,9
113.98195171307141,22.544544575524117,12688412.824322606,2577031.1480825837,9
113.97915171307142,22.539644575524118,12688101.129748385,2576440.560588472,8
113.97915171307142,22.538944575524116,12688101.129748385,2576356.19265774,26
113.98135171307142,22.538244575524118,12688346.03262813,2576271.825154777,3
113.97885171307142,22.538344575524118,12688067.733901147,2576283.87762901,22
113.98385171307142,22.54064457552412,12688624.331355114,2576561.086945888,5
113.97925171307142,22.538244575524118,12688112.261697464,2576271.825154777,4
113.97895171307141,22.542044575524116,12688078.865850225,2576729.8253130615,2
113.98125171307142,22.538544575524117,12688334.90067905,2576307.982603668,4
113.97975171307141,22.544844575524117,12688167.921442859,2577067.3071816876,4
